idx,name,score
52,OHE_MERCHANT_ID_4445155054072,0.11896476553188814
4,TOT_SALES2019,0.07285236726610325
16,SALES_CNT_TREND_2,0.071081971049941
14,AVG_SALES_CNT,0.06748294446511037
51,OHE_MERCHANT_ID_4445155052886,0.06542007578220135
21,TREND_RANKING,0.05881451265778598
8,TOT_SALES2018,0.050624730374673965
5,TOT_SALE_CNT2021,0.04726885644429507
18,SALES_TREND_WEIGHTED,0.03848027864324917
53,OHE_MERCHANT_ID_4445155230730,0.03706902149294449
20,TREND_WEIGHTED,0.03657978970332622
54,OHE_MERCHANT_ID_4445155052068,0.034045185461098464
7,TOT_SALES_CNT2019,0.03341985630684356
10,AVG_SALES,0.031866980126050166
12,SALES_TREND_2,0.031744014449574406
9,TOT_SALE_CNT2018,0.0316939095799863
17,SALES_CNT_TREND_3,0.027812967739256657
6,TOT_SALE_CNT2020,0.022011477609932065
11,SALES_TREND_1,0.02142685460258276
29,CNT2018,0.01902775899150907
75,"OHE_MERCHANT_NAME_BOB EVANS RESTAURANTS, LLC",0.011750765087785622
27,CNT2020,0.00884710721101112
19,SALE_CNT_TREND_WEIGHTED,0.0081491632060671
23,Total2020,0.007234474875404166
31,population_female_2020,0.00685147104560411
13,SALES_TREND_3,0.004995678554542874
25,Total2018,0.004860141659349195
22,Total2021,0.004638258024507936
38,OHE_CITY_NEW ALBANY,0.004304723907373975
30,population_male_2020,0.002987175971882439
0,ZIPCODE,0.0029464507344647718
76,OHE_MERCHANT_NAME_CENTRAL FLORIDA RESTAURANTS INC,0.0028798128155612707
3,TOT_SALES2020,0.002246141289726048
26,CNT2021,0.0020446263153231403
34,population_male_2018,0.001488700348985988
37,OHE_BILLING_STATE_FL,0.0011499994087733783
2,POPULATION,0.001119121895791611
56,OHE_MERCHANT_ID_4445001543538,0.0010814269380941158
28,CNT2019,0.001033806751453749
39,OHE_CITY_ORLANDO,0.0005169605129547775
15,SALES_CNT_TREND_1,0.0003480095855789744
35,population_female_2018,0.00025962847223060036
43,OHE_CITY_CLEVELAND,0.00025832430504611303
86,OHE_MERCHANT_NAME_DJRIVERA RESTAURANT LLC,0.0002497682148919541
90,OHE_MERCHANT_NAME_CHEYENNE SALOON INC,6.99445892423329e-05
73,OHE_MERCHANT_ID_520000767576,0.0
81,OHE_MERCHANT_NAME_MACYS MARKETPLACE LLC,0.0
72,OHE_MERCHANT_ID_520002390274,0.0
77,OHE_MERCHANT_NAME_FRISCHS RESTAURANT INC,0.0
78,OHE_MERCHANT_NAME_FLIPPERS PIZZERIA T & B INC,0.0
79,OHE_MERCHANT_NAME_MILLENNIUM OPERATIONS LLC,0.0
80,"OHE_MERCHANT_NAME_CINCINNATI NETHERLAND HOTEL, LLC",0.0
71,OHE_MERCHANT_ID_520000169712,0.0
74,OHE_MERCHANT_ID_16009558,0.0
93,OHE_MERCHANT_NAME_EL TAPATIO ORIGINAL INC,0.0
95,OHE_MCC_CATEGORY_Misc. Stores,0.0
94,OHE_MERCHANT_NAME_JM HADDAD INC,0.0
92,OHE_MERCHANT_NAME_HUNGRY BEAR DINER & ICE CREAM LLC,0.0
82,OHE_MERCHANT_NAME_HUBBARD PIZZA WORKS LLC,0.0
83,OHE_MERCHANT_NAME_EDISON'S PIZZA  KITCHEN,0.0
84,OHE_MERCHANT_NAME_MR TACO SOUTH INC,0.0
85,OHE_MERCHANT_NAME_S&T TOWNSEND INC,0.0
87,OHE_MERCHANT_NAME_EVERLAST ENTERPRISE GROUP LLC,0.0
88,OHE_MERCHANT_NAME_BUGAMBILIAS MEXICAN RESTAURANT INC,0.0
89,OHE_MERCHANT_NAME_ORIENTAL HAWKERS LLC,0.0
91,OHE_MERCHANT_NAME_CORNERSTONE RESTAURANT,0.0
69,OHE_MERCHANT_ID_542929806955027,0.0
70,OHE_MERCHANT_ID_4445012994491,0.0
48,OHE_CITY_GIBSONBURG,0.0
68,OHE_MERCHANT_ID_4445031652305,0.0
67,OHE_MERCHANT_ID_520001354289,0.0
24,Total2019,0.0
32,population_male_2019,0.0
33,population_female_2019,0.0
36,OHE_BILLING_STATE_OH,0.0
40,OHE_CITY_CINCINNATI,0.0
41,OHE_CITY_SANDUSKY,0.0
42,OHE_CITY_WARREN,0.0
44,OHE_CITY_JACKSONVILLE,0.0
45,OHE_CITY_OXFORD,0.0
46,OHE_CITY_PALM COAST,0.0
47,OHE_CITY_EAST PALATKA,0.0
1,MCC,0.0
49,OHE_CITY_LAKE CITY,0.0
50,OHE_CITY_ROSSFORD,0.0
55,OHE_MERCHANT_ID_4445014109546,0.0
57,OHE_MERCHANT_ID_8788430144037,0.0
58,OHE_MERCHANT_ID_4445024813451,0.0
59,OHE_MERCHANT_ID_4445090630228,0.0
60,OHE_MERCHANT_ID_4445026458620,0.0
61,OHE_MERCHANT_ID_4445183373944,0.0
62,OHE_MERCHANT_ID_4445000871558,0.0
63,OHE_MERCHANT_ID_4445011490730,0.0
64,OHE_MERCHANT_ID_520001177881,0.0
65,OHE_MERCHANT_ID_4445154211722,0.0
66,OHE_MERCHANT_ID_4445001397497,0.0
96,OHE_MCC_DESC_Eating Places and Restaurants,0.0
